Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
25,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
26,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear,1300 E 75th St ,,4930000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
27,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
28,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
29,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Incarnation / Salvation Army,1345 N Karlov Ave ,,2764118,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
30,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St ,,4715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
31,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
32,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
33,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - North Austin / LSSI,1500 N Mason Ave ,,2371930,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
34,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
35,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave ,,2785837,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
36,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
37,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
38,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - Morse,1545 W Morse Ave ,,2621390,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
39,CPS_Early_Childhood_Portal_scrape.csv, South Shore Bible - Maranatha,1631 E 71st St ,,4937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
40,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave ,,2278551,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
41,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Ebenezer,1652 W Foster Ave ,,8789925,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
42,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Paulo Freire,1653 W 43rd St ,,8262669,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
43,CPS_Early_Childhood_Portal_scrape.csv, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
44,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
45,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
46,CPS_Early_Childhood_Portal_scrape.csv, ChildServ - Pilsen,1711 W Garfield Blvd ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
47,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd ,,5639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
48,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd ,,5639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
49,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes II,1723 W 35th St ,,5791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
50,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes II,1723 W 35th St ,,5791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
51,CPS_Early_Childhood_Portal_scrape.csv, Church of God True Believers - Church of God Day Care,1738 W Marquette Rd ,,4715222,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
52,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - Rogers Park / LSSI,1754 W Devon Ave ,,2623366,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
53,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
54,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
55,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - McCormick Tribune- YMCA,1834 N Lawndale Ave ,,2352525,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
56,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,,8507000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
57,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,,8507000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
58,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Guadalupe Reyes Children & Family Center,1951 W 19th St ,,9972021,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
59,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Guadalupe Reyes Children & Family Center,1951 W 19th St ,,9972021,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
60,CPS_Early_Childhood_Portal_scrape.csv, North Avenue Day Nursery - North Avenue Day Nursery,2001 W Pierce Ave ,,3424499,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
61,CPS_Early_Childhood_Portal_scrape.csv, Carole Robertson Center For Learning - Carole Robertson Center CTR 2020,2020 W Roosevelt Rd ,,2437300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
62,CPS_Early_Childhood_Portal_scrape.csv, Carole Robertson Center For Learning - Carole Robertson Center CTR 2020,2020 W Roosevelt Rd ,,2437300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
63,CPS_Early_Childhood_Portal_scrape.csv, Chinese American Service League - Chinese American Service League,2141 S Tan Ct ,,7910418,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
64,CPS_Early_Childhood_Portal_scrape.csv, Chinese American Service League - Chinese American Service League,2141 S Tan Ct ,,7910418,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
65,CPS_Early_Childhood_Portal_scrape.csv, First Church of Love And Faith - First Church of Love & Faith Annex,2141 W 79th St ,,2246800,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
66,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California,2325 S California Ave ,,5231629,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
67,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California,2325 S California Ave ,,5231629,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
68,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Bernard Gentry,2326 S Dearborn St ,,8428557,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
69,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Bernard Gentry,2326 S Dearborn St ,,8428557,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
70,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Kenyatta's Day Care,2334 E 75th ,,2213777,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
71,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Hillard House / Henry Booth,2401 S Wabash Ave ,,7919710,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
72,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Tepeyac,2414 S Albany Ave ,,2775888,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
73,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Tepeyac,2414 S Albany Ave ,,2775888,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
74,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - High Ridge YMCA,2424 W Touhy Ave ,,2628300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
75,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Carlos Cantu,2434 S Kildare Ave ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
76,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Carlos Cantu,2434 S Kildare Ave ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
77,CPS_Early_Childhood_Portal_scrape.csv, Christopher House - Christopher House - Greenview,2507 N Greenview Ave ,,4721083,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
78,CPS_Early_Childhood_Portal_scrape.csv, Christopher House - Christopher House - Logan Square,2610 N Francisco Ave ,,2354073,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
79,CPS_Early_Childhood_Portal_scrape.csv, St. Augustine College - St. Augustine - Nayarit,2610 W 25th Pl ,,8783641,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
80,CPS_Early_Childhood_Portal_scrape.csv, St. Augustine College - St. Augustine - Nayarit,2610 W 25th Pl ,,8783641,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
81,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - Rauner,2700 S Western Ave ,,8473115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
82,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - Rauner,2700 S Western Ave ,,8473115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
83,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - YMCA - Bowen High School,2710 E 89th St ,,9330166,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
84,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - The Keeper's Inst.,2718 W 59th St ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
85,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Centro Infantil(Puerto Rican Comm),2739 W Division St ,,3428866,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
86,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - West,2820 N Leavitt St ,,3485528,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
87,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Family Service Center / Henry Booth,2850 S Michigan Ave ,,9492151,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
88,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - North,2905 N Leavitt St ,,9753322,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
89,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Near South / Henry Booth,2929 S Wabash Ave ,,7910424,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
90,CPS_Early_Childhood_Portal_scrape.csv, Carole Robertson Center For Learning - Carole Robertson Center 2929,2929 W 19th St ,,5211600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
91,CPS_Early_Childhood_Portal_scrape.csv, Carole Robertson Center For Learning - Carole Robertson Center 2929,2929 W 19th St ,,5211600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
92,CPS_Early_Childhood_Portal_scrape.csv, Boys and Girls Clubs of Chicago - R.E. Woods,2950 W 25th St ,,8475172,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
93,CPS_Early_Childhood_Portal_scrape.csv, Boys and Girls Clubs of Chicago - R.E. Woods,2950 W 25th St ,,8475172,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
94,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - East,2974 N Clybourn Ave ,,3485528,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
95,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Young Scholars Dev. Ins,3038 W 59th St ,,9181944,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
96,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - South Chicago YMCA,3039 E 91st St ,,7219100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
97,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Rey Gonzalez Children & Family Center,3050 E 92nd St ,,7219311,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
98,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Lake and Pulaski,316 N Pulaski Rd ,,2653830,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
99,CPS_Early_Childhood_Portal_scrape.csv, ChildServ - FSS of Lawndale,3210 W Arthington St ,,8677370,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
100,CPS_Early_Childhood_Portal_scrape.csv, ChildServ - FSS of Lawndale,3210 W Arthington St ,,8677370,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
101,CPS_Early_Childhood_Portal_scrape.csv, Metropolitan Family Services - Midway Children's Center (Chicago Lawn),3215 W 63rd St ,,8842350,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
102,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Centro Nuestro / CYC,3222 W Division Ave ,,4893157,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
103,CPS_Early_Childhood_Portal_scrape.csv, Metropolitan Family Services - North Children's Center,3249 N Central Ave ,,3713700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
104,CPS_Early_Childhood_Portal_scrape.csv, Christopher House - Christoper House - Logan Square,3255 W Altgeld St ,,2354073,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
105,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Professional Playhouse,338 E 103rd ,,5680728,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
106,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Professional Playhouse,338 E 103rd ,,5680728,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
107,CPS_Early_Childhood_Portal_scrape.csv, Albany Park Community Center - Albany Park Day Care - Ainslie,3401 W Ainslie St ,,5395907,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
108,CPS_Early_Childhood_Portal_scrape.csv, St. Augustine College - St. Augustine - Flamboyan,3401 W McLean Ave ,,2763423,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
109,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - ABC,3415 W 13th Pl ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
110,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - ABC,3415 W 13th Pl ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
111,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
112,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
113,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Teddy Bear 2 Columbus,3473 W Columbus ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
114,CPS_Early_Childhood_Portal_scrape.csv, Centers For New Horizons - Ida B. Wells Learning Center,3601 S Rhodes St ,,3733640,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
115,CPS_Early_Childhood_Portal_scrape.csv, Firman Community Services - Firman House West,37 W 47th St ,,3733400,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
116,CPS_Early_Childhood_Portal_scrape.csv, Carole Robertson Center For Learning - Carole Robertson Center- Ogden 3701,3701 W Ogden Ave ,,5228400,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
117,CPS_Early_Childhood_Portal_scrape.csv, Carole Robertson Center For Learning - Carole Robertson Center- Ogden 3701,3701 W Ogden Ave ,,5228400,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
118,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - St. Thomas,3801 S Wabash Ave ,,2850617,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
119,CPS_Early_Childhood_Portal_scrape.csv, Centers For New Horizons - Edison L. Hoard Learning Center,3901 S State St ,,5362187,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
120,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - It Takes a Village,4000 W Division St ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
121,CPS_Early_Childhood_Portal_scrape.csv, Grant Creative Learning Center - Grant Day Care Center,4025 S Drexel St ,,2858440,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
122,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - New Hope / Salvation Army,4255 W Division St ,,7224908,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
123,CPS_Early_Childhood_Portal_scrape.csv, Korean American Community Services - Korean American Community Services,4300 N California Ave ,,5838281,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
124,CPS_Early_Childhood_Portal_scrape.csv, Centers For New Horizons - Effie Ellis,4301 S Cottage Grove Ave ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
125,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - Maggie Drummond Day Care,4301 S Wabash Ave ,,3738200,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
126,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Lincoln - King,4314 S Cottage Grove Ave ,,7472310,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
127,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Leclaire-Ryder Day Care / Hull House,4410 S Laporte Ave ,,7675170,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
128,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Kiddy Kare Learning Ctr,4444 S Kedzie Ave ,,2476642,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
129,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown West / Hull House,4520 N Beacon St ,,5613500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
130,CPS_Early_Childhood_Portal_scrape.csv, St. Paul Church of God - Chaney Ford Child Care Center,4526 S Wabash Ave ,,2858721,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
